date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:06	219/219	---MCZ	200	added ('OK')	text/plain	etag:W/%22640b3886-154%22	https://www.classcentral.com/robots.txt		(from )
15:49:07	666370/666370	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2012:49:07%20GMT	https://www.classcentral.com/	C:/HTTrack-2%20level/Test/www.classcentral.com/index.html	(from )
15:49:08	9463/9463	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2014:04:33%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/HTTrack-2%20level/Test/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
15:49:08	2206/2206	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2014:02:46%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/HTTrack-2%20level/Test/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
15:49:08	975/975	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2014:04:33%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/HTTrack-2%20level/Test/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
15:49:08	731/731	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2014:02:46%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/HTTrack-2%20level/Test/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
15:49:09	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%22640b38f1-2a1%22	https://www.classcentral.com/site.webmanifest	C:/HTTrack-2%20level/Test/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
15:49:09	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22640b38f1-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/HTTrack-2%20level/Test/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
15:49:09	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%22640b38f1-391%22	https://www.classcentral.com/opensearch.xml	C:/HTTrack-2%20level/Test/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
15:49:09	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2010%20Mar%202023%2014:04:33%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/HTTrack-2%20level/Test/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
15:49:09	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2010%20Mar%202023%2014:04:33%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	C:/HTTrack-2%20level/Test/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
15:49:10	1488/1488	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2010%20Mar%202023%2014:02:46%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	C:/HTTrack-2%20level/Test/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
15:49:10	5588/5588	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2010%20Mar%202023%2014:04:33%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	C:/HTTrack-2%20level/Test/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
15:49:10	12520/12520	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2010%20Mar%202023%2014:04:33%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	C:/HTTrack-2%20level/Test/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
